BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
4,HOLLISWOOD,01 ONE FAMILY DWELLINGS,45,"450,000","1,218,311","1,100,000","2,630,000"
4,HOLLISWOOD,02 TWO FAMILY DWELLINGS,1,"995,000","995,000","995,000","995,000"
4,HOWARD BEACH,01 ONE FAMILY DWELLINGS,139,"210,635","839,467","850,000","2,300,000"
4,HOWARD BEACH,02 TWO FAMILY DWELLINGS,45,"207,500","921,155","940,000","1,448,721"
4,HOWARD BEACH,03 THREE FAMILY DWELLINGS,5,"600,000","1,037,600","1,229,000","1,359,000"
4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,83,"230,000","904,369","888,000","1,900,000"
4,JACKSON HEIGHTS,02 TWO FAMILY DWELLINGS,92,"500,000","1,110,572","997,500","2,665,000"
4,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS,48,"250,801","1,280,151","1,277,500","2,665,000"
4,JAMAICA,01 ONE FAMILY DWELLINGS,30,"270,000","784,160","705,000","2,500,000"
4,JAMAICA,02 TWO FAMILY DWELLINGS,36,"219,690","945,266","882,000","2,300,000"
4,JAMAICA,03 THREE FAMILY DWELLINGS,5,"970,000","1,166,200","1,180,000","1,424,000"
4,JAMAICA BAY,01 ONE FAMILY DWELLINGS,9,"417,500","633,819","590,000","1,000,000"
4,JAMAICA BAY,02 TWO FAMILY DWELLINGS,3,"342,224","602,408","645,000","820,000"
4,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,54,"225,942","1,335,184","1,300,000","2,900,000"
4,JAMAICA ESTATES,02 TWO FAMILY DWELLINGS,3,"520,000","1,013,333","1,210,000","1,310,000"
4,JAMAICA HILLS,01 ONE FAMILY DWELLINGS,23,"620,000","805,213","800,000","1,100,000"
4,JAMAICA HILLS,02 TWO FAMILY DWELLINGS,15,"300,000","793,867","875,000","1,130,000"
4,JAMAICA HILLS,03 THREE FAMILY DWELLINGS,1,"1,210,000","1,210,000","1,210,000","1,210,000"
4,KEW GARDENS,01 ONE FAMILY DWELLINGS,29,"326,000","1,150,974","1,100,000","2,580,000"
4,KEW GARDENS,02 TWO FAMILY DWELLINGS,11,"700,000","1,082,000","1,075,000","1,370,000"
4,KEW GARDENS,03 THREE FAMILY DWELLINGS,9,"310,000","1,262,193","1,340,000","1,960,000"
4,LAURELTON,01 ONE FAMILY DWELLINGS,146,"268,180","631,955","632,500","1,295,000"
4,LAURELTON,02 TWO FAMILY DWELLINGS,29,"305,000","796,302","750,000","1,300,000"
4,LITTLE NECK,01 ONE FAMILY DWELLINGS,90,"435,000","1,091,274","995,500","2,360,000"
4,LITTLE NECK,02 TWO FAMILY DWELLINGS,10,"820,000","1,312,903","1,274,000","1,990,000"
4,LONG ISLAND CITY,01 ONE FAMILY DWELLINGS,5,"645,000","881,400","912,000","1,200,000"
4,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS,28,"535,000","1,612,910","1,365,000","3,500,000"
4,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS,12,"320,000","1,473,083","1,450,000","2,750,000"
4,MASPETH,01 ONE FAMILY DWELLINGS,70,"365,000","789,655","822,500","1,365,777"
4,MASPETH,02 TWO FAMILY DWELLINGS,107,"204,544","953,636","950,000","1,720,000"
4,MASPETH,03 THREE FAMILY DWELLINGS,24,"635,000","1,229,271","1,202,500","1,883,763"
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,170,"218,630","828,213","839,500","1,525,000"
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,135,"300,000","987,359","979,000","1,888,000"
4,MIDDLE VILLAGE,03 THREE FAMILY DWELLINGS,31,"851,000","1,305,251","1,300,000","1,800,000"
4,NEPONSIT,01 ONE FAMILY DWELLINGS,24,"275,805","1,271,242","1,187,500","3,000,000"
4,OAKLAND GARDENS,01 ONE FAMILY DWELLINGS,59,"304,000","1,076,223","999,900","1,998,068"
4,OAKLAND GARDENS,02 TWO FAMILY DWELLINGS,3,"1,399,998","1,813,079","1,850,000","2,189,238"
4,OAKLAND GARDENS,03 THREE FAMILY DWELLINGS,6,"498,800","1,303,633","1,414,000","1,650,000"
4,OZONE PARK,01 ONE FAMILY DWELLINGS,121,"325,000","664,503","675,000","1,380,000"
4,OZONE PARK,02 TWO FAMILY DWELLINGS,153,"270,000","846,317","825,000","1,600,000"
4,OZONE PARK,03 THREE FAMILY DWELLINGS,18,"381,900","945,980","993,667","1,250,000"
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,263,"200,000","652,472","665,000","1,300,000"
4,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS,74,"288,000","761,764","757,500","1,295,000"
4,QUEENS VILLAGE,03 THREE FAMILY DWELLINGS,2,"860,000","902,500","902,500","945,000"
4,REGO PARK,01 ONE FAMILY DWELLINGS,58,"700,000","941,065","911,750","1,875,000"
4,REGO PARK,02 TWO FAMILY DWELLINGS,26,"360,000","1,311,077","1,072,000","3,600,000"
4,REGO PARK,03 THREE FAMILY DWELLINGS,6,"1,125,000","1,423,833","1,349,000","1,995,000"
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS,186,"200,000","676,543","670,000","1,600,000"
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS,173,"287,000","839,231","834,528","1,855,000"
4,RICHMOND HILL,03 THREE FAMILY DWELLINGS,33,"420,000","969,008","945,000","1,410,000"
4,RIDGEWOOD,01 ONE FAMILY DWELLINGS,16,"396,750","856,102","847,000","1,375,000"
